date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:47	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:16:47%20GMT	https://www.flent.in/properties/schema.org	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/schema.org	(from https://www.flent.in/properties/schema.org/)
18:47:09	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:16:47%20GMT	https://www.flent.in/properties/POST	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:09	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:16:48%20GMT	https://www.flent.in/properties/b.resolvedLink	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:09	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:16:48%20GMT	https://www.flent.in/signals/iwl.js	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/signals/iwl.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:09	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:16:48%20GMT	https://www.flent.in/properties/e	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/e.html	(from https://embed.typeform.com/next/embed.js)
18:47:09	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:09%20GMT	https://www.flent.in/properties/-closed=true;Path=	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/-closed=true;Path=.25.delayed	(from https://www.flent.in/properties/-closed=true;Path=/)
18:47:10	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2019%20Mar%202025%2013:17:09%20GMT	https://embed.typeform.com/robots.txt		(from https://embed.typeform.com/next/embed.js)
18:47:10	0/-1	---M--	502	error ('')			https://www.flent.in/properties/a	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:32	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:10%20GMT	https://www.flent.in/properties/POST	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:32	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:10%20GMT	https://www.flent.in/properties/schema.org	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/schema.html	(from https://www.flent.in/properties/schema.org/)
18:47:32	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:10%20GMT	https://www.flent.in/properties/b.resolvedLink	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:32	0/-1	---M--	502	error ('')			https://www.flent.in/properties/a	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:32	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:10%20GMT	https://www.flent.in/signals/iwl.js	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/signals/iwl.html	(from https://connect.facebook.net/en_US/fbevents.js)
18:47:33	6366/6366	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:32%20GMT	https://www.flent.in/properties/e	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/e.html	(from https://embed.typeform.com/next/embed.js)
18:47:33	0/-1	---M--	502	error ('')			https://www.flent.in/properties/-closed=true;Path=	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/-closed=true;Path=.html	(from https://www.flent.in/properties/-closed=true;Path=/)
18:47:33	6365/6365	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2013:17:32%20GMT	https://www.flent.in/properties/schema.org	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/schema.html	(from https://www.flent.in/properties/schema.org/)
18:47:33	0/-1	---M--	502	error ('')			https://www.flent.in/properties/-closed=true;Path=	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/-closed=true;Path=.html	(from https://www.flent.in/properties/-closed=true;Path=/)
